product_name,price,rating,stock_status,product_url,scraped_at
Kyoto Street iPhone Tough Case,$33.10,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Kyoto-Street-by-AmySongsArt/182615893/3bp7,2026-08-05T12:10:36.181902
Blue Ocean Waves iPhone Tough Case,$42.13,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Blue-Ocean-Waves-by-AlexandraStr/22372528/3bp7,2026-08-05T12:10:36.239052
The Double Sunset... iPhone Tough Case,$40.32,N/A,In Stock,https://www.redbubble.com/i/iphone-case/The-Double-Sunset-by-rorkstarmason/24442066/3bp7,2026-08-05T12:10:36.300821
Florals...for Spring iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Florals-for-Spring-by-alyssakorea/14763226/3bp7,2026-08-05T12:10:36.353975
Chicken and Chick - pastel iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Chicken-and-Chick-pastel-by-pikaole/51183561/3bp7,2026-08-05T12:10:36.407425
Flowing Petals iPhone Tough Case,$33.10,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Flowing-Petals-by-Malichyte/182037012/3bp7,2026-08-05T12:10:36.472032
A Frog and His Son iPhone Tough Case,$42.13,N/A,In Stock,https://www.redbubble.com/i/iphone-case/A-Frog-and-His-Son-by-DingHuArt/57352076/3bp7,2026-08-05T12:10:36.530199
Stay Positive iPhone Tough Case,$40.62,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Stay-Positive-by-stevenrhodes/79299073/3bp7,2026-08-05T12:10:36.583958
Gustav Klimt Flowers iPhone Tough Case,$42.13,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Gustav-Klimt-Flowers-by-maniacfitness/158528025/3bp7,2026-08-05T12:10:36.638560
80's Eighties Transparent Translucid Conairphone Neon Brights Keypad iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/80-s-Eighties-Transparent-Translucid-Conairphone-Neon-Brights-Keypad-by-estellef/43739336/3bp7,2026-08-05T12:10:36.696346
G3 iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/G3-by-Koleidescope/172277783/3bp7,2026-08-05T12:10:36.746087
Slime Orange VHS Rug Rats iPhone Tough Case,$42.13,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Slime-Orange-VHS-Rug-Rats-by-mud1017/32801422/3bp7,2026-08-05T12:10:36.801174
"Solid Black Duvet Cover - Noir Bedspread - Plain Skirt, Cushion Socks iPhone Tough Case",$33.64,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Solid-Black-Duvet-Cover-Noir-Bedspread-Plain-Skirt-Cushion-Socks-by-deanworld/18868132/3bp7,2026-08-05T12:10:36.855532
"Starry Ocean, teal sailboat watercolor sea waves night iPhone Tough Case",$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Starry-Ocean-teal-sailboat-watercolor-sea-waves-night-by-VApinx/25925977/3bp7,2026-08-05T12:10:36.915644
Adventure Time™ end credits pattern iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Adventure-Time-end-credits-pattern-by-crumpsticks/42603988/3bp7,2026-08-05T12:10:36.969219
Bat - dark iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Bat-dark-by-pikaole/62669138/3bp7,2026-08-05T12:10:37.022539
Fox and Wisps Under the Moon and Maple Leaves iPhone Tough Case,$37.91,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Fox-and-Wisps-Under-the-Moon-and-Maple-Leaves-by-TeaKitsune/12824144/3bp7,2026-08-05T12:10:37.082478
"Blue Clouds, Blue Moon iPhone Tough Case",$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Blue-Clouds-Blue-Moon-by-va103/14709666/3bp7,2026-08-05T12:10:37.134178
Hot Pink and Orange Stripes iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Hot-Pink-and-Orange-Stripes-by-OneThreeSix/117288916/3bp7,2026-08-05T12:10:37.189285
"If you were anything, you'd be stars iPhone Tough Case",$35.51,N/A,In Stock,https://www.redbubble.com/i/iphone-case/If-you-were-anything-you-d-be-stars-by-TuesdayLately/182361037/3bp7,2026-08-05T12:10:37.239710
Flowery Books and Tea iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Flowery-Books-and-Tea-by-ohjessmarie/45047382/3bp7,2026-08-05T12:10:37.288880
"80s 90s Y2k Clear Effect Phone Case – Retro Tech, Y2K Electronics Design, Conairphone iPhone Tough Case",$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/80s-90s-Y2k-Clear-Effect-Phone-Case-Retro-Tech-Y2K-Electronics-Design-Conairphone-by-estellef/180535737/3bp7,2026-08-05T12:10:37.345254
