product_name,price,rating,stock_status,product_url,timestamp
Wilderness iPhone Tough Case,$36.14,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Wilderness-by-Ngea/31505447/3bp7,2026-08-05T12:03:31.986485
Dragonfly Haze iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Dragonfly-Haze-by-lyndseyart/7551072/3bp7,2026-08-05T12:03:32.035230
Rainbow Books Shelf Pattern (Black Background) iPhone Tough Case,$37.01,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Rainbow-Books-Shelf-Pattern-Black-Background-by-rubyandpearl/81521459/3bp7,2026-08-05T12:03:32.077525
Cute Swimming Axolotls Pattern iPhone Tough Case,$35.21,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Cute-Swimming-Axolotls-Pattern-by-rustydoodle/120244341/3bp7,2026-08-05T12:03:32.123496
E4 Necklace iPhone Tough Case,$33.10,N/A,In Stock,https://www.redbubble.com/i/iphone-case/E4-Necklace-by-ElisaB24/182058338/3bp7,2026-08-05T12:03:32.168597
Monochrome green watercolour shark ocean on very dark green iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Monochrome-green-watercolour-shark-ocean-on-very-dark-green-by-adenaJ/171225579/3bp7,2026-08-05T12:03:32.210422
Memphis Pattern 34 - Retro 90s / 80s iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Memphis-Pattern-34-Retro-90s-80s-by-GraphicWave/137635669/3bp7,2026-08-05T12:03:32.260762
Raven pattern 2 iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Raven-pattern-2-by-freeminds/41443719/3bp7,2026-08-05T12:03:32.306078
Modern Retro Liquid Swirl Fluid Abstract Bold Red and Pink iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Modern-Retro-Liquid-Swirl-Fluid-Abstract-Bold-Red-and-Pink-by-kierkegaard/166187646/3bp7,2026-08-05T12:03:32.356007
Library Kitten Wars iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Library-Kitten-Wars-by-TaylorRoss1/60451080/3bp7,2026-08-05T12:03:32.400676
Niko | OneShot | Modern Graphic Design iPhone Tough Case,$36.08,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Niko-OneShot-Modern-Graphic-Design-by-Eroshi/164704118/3bp7,2026-08-05T12:03:32.443335
"In a galaxy far, far away iPhone Tough Case",$34.60,N/A,In Stock,https://www.redbubble.com/i/iphone-case/In-a-galaxy-far-far-away-by-mensijazavcevic/30885919/3bp7,2026-08-05T12:03:32.488447
Gateway Galaxy iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Gateway-Galaxy-by-MalMakes/95098567/3bp7,2026-08-05T12:03:32.534262
Midnight Floral iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Midnight-Floral-by-nouveaubohemian/26296477/3bp7,2026-08-05T12:03:32.577008
The Meeting of the Fox and Wish Spirit iPhone Tough Case,$37.91,N/A,In Stock,https://www.redbubble.com/i/iphone-case/The-Meeting-of-the-Fox-and-Wish-Spirit-by-TeaKitsune/13136739/3bp7,2026-08-05T12:03:32.622318
Twilight Unicorns iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Twilight-Unicorns-by-tanaudel/47488078/3bp7,2026-08-05T12:03:32.667950
Our Lady of Lourdes iPhone Tough Case,$33.10,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Our-Lady-of-Lourdes-by-petronillepress/182131153/3bp7,2026-08-05T12:03:32.718015
The Caves are Haunted iPhone Tough Case,$51.15,N/A,In Stock,https://www.redbubble.com/i/iphone-case/The-Caves-are-Haunted-by-katherineblower/75871949/3bp7,2026-08-05T12:03:32.760130
Green sardine iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Green-sardine-by-Lisbon-dreams/39368318/3bp7,2026-08-05T12:03:32.806968
Honey iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Honey-by-hellocloudy/42202256/3bp7,2026-08-05T12:03:32.856473
Silver Surfer iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Silver-Surfer-by-AhmedRaafatArt/29507564/3bp7,2026-08-05T12:03:32.904005
The Ca’boose iPhone Tough Case,$33.10,N/A,In Stock,https://www.redbubble.com/i/iphone-case/The-Ca-boose-by-co0o0ol500/182600407/3bp7,2026-08-05T12:03:32.951198
Cats Cats Cats iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Cats-Cats-Cats-by-ninay/17753197/3bp7,2026-08-05T12:03:32.994301
Iced Coffee Cat iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Iced-Coffee-Cat-by-kilkennycat/14526616/3bp7,2026-08-05T12:03:33.038782
Purple Blue Galaxy Nebula iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Purple-Blue-Galaxy-Nebula-by-2sweetsDesign/39748965/3bp7,2026-08-05T12:03:33.084743
G3 Orange iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/G3-Orange-by-Koleidescope/172347165/3bp7,2026-08-05T12:03:33.127109
